produto_id,nome,categoria,preco
1,Cadeira,Moveis,2674.57
2,Notebook,Informatica,6464.75
3,Fogao,Eletrodomesticos,4326.59
4,Livro,Livros,4405.59
5,Cafeteira,Cozinha,481.44
6,Microondas,Eletrodomesticos,2422.02
7,Fogao,Eletrodomesticos,8515.54
8,Monitor,Eletronicos,2511.72
9,Smartwatch,Acessorios,2192.78
10,Microondas,Eletrodomesticos,7350.0
11,Cadeira,Moveis,2641.35
12,Tenis,Vestuario,2938.01
13,Panela,Cozinha,6158.77
14,Livro,Livros,7726.26
15,Mochila,Acessorios,1398.06
16,Mesa,Moveis,3621.24
17,Microondas,Eletrodomesticos,7600.31
18,Camisa,Vestuario,6169.35
19,Teclado,Informatica,761.02
20,Livro,Livros,5563.48
21,Mesa,Moveis,6488.79
22,Cadeira,Moveis,4382.27
23,Smartphone,Eletronicos,7939.34
24,Smartphone,Eletronicos,1233.61
25,Tenis,Vestuario,4824.59
26,Mouse,Informatica,7097.92
27,Cafeteira,Cozinha,2561.62
28,Mesa,Moveis,5876.77
29,Cadeira,Moveis,3580.99
30,Panela,Cozinha,4217.01
31,Mesa,Moveis,525.35
32,Tenis,Vestuario,4939.98
33,Relogio,Acessorios,4478.36
34,Cafeteira,Cozinha,3450.42
35,Mesa,Moveis,5294.1
36,Tenis,Vestuario,3573.9
37,Cadeira,Moveis,7687.64
38,Panela,Cozinha,2830.16
39,Fogao,Eletrodomesticos,6625.03
40,Smartphone,Eletronicos,7301.19
41,Camisa,Vestuario,9024.28
42,Mouse,Informatica,4067.09
43,Cafeteira,Cozinha,7887.35
44,Livro,Livros,7688.04
45,Fogao,Eletrodomesticos,8806.43
46,Mesa,Moveis,3197.57
47,Geladeira,Eletrodomesticos,5090.53
48,Panela,Cozinha,7798.11
49,Mouse,Informatica,648.77
50,Panela,Cozinha,9192.65
